Id	Subject	Object	Predicate	Lexical cue
T1	13-29	NegReg	denotes	loss-of-function
T2	30-38	Var	denotes	mutation
T3	50-55	Gene	denotes	CYBC1
T5	74-103	Disease	denotes	chronic granulomatous disease
T6	105-114	Var	denotes	Mutations
T8	199-204	Reg	denotes	cause
T9	205-234	Disease	denotes	chronic granulomatous disease
T10	536-552	NegReg	denotes	loss-of-function
T12	563-572	Var	denotes	p.Tyr2Ter
T13	577-582	Gene	denotes	CYBC1
T14	824-833	Var	denotes	p.Tyr2Ter
T15	847-862	Reg	denotes	associates with
T16	863-889	Disease	denotes	inflammatory bowel disease
R1	T3	T2	ThemeOf	CYBC1,mutation
R13	T5	T1	ThemeOf	chronic granulomatous disease,loss-of-function
R14	T13	T12	ThemeOf	CYBC1,p.Tyr2Ter
R15	T12	T10	CauseOf	p.Tyr2Ter,loss-of-function
R16	T14	T15	CauseOf	p.Tyr2Ter,associates with
R17	T16	T15	ThemeOf	inflammatory bowel disease,associates with
R2	T2	T1	CauseOf	mutation,loss-of-function
R6	T6	T8	CauseOf	Mutations,cause
R7	T9	T8	ThemeOf	chronic granulomatous disease,cause
