Id	Subject	Object	Predicate	Lexical cue
T14	717-723	Gene	denotes	PPP3CA
T11	746-772	Var	denotes	catalytic domain mutations
T12	777-796	Var	denotes	frameshift mutation
T16	815-820	Reg	denotes	found
T13	838-887	Disease	denotes	nonsyndromic early onset epileptic encephalopathy
T1	906-925	Var	denotes	AI domain mutations
T15	931-941	Reg	denotes	associated
T2	947-980	Disease	denotes	multiple congenital abnormalities
T3	991-1015	Disease	denotes	craniofacial dysmorphism
T5	1017-1031	Disease	denotes	arthrogryposis
T4	1036-1049	Disease	denotes	short stature
T7	1287-1306	Var	denotes	AI domain mutations
T8	1339-1348	PosReg	denotes	increased
T9	1349-1370	MPA	denotes	calcineurin signaling
T10	1447-1453	Gene	denotes	PPP3CA
R1	T14	T11	ThemeOf	PPP3CA,catalytic domain mutations
R11	T10	T7	ThemeOf	PPP3CA,AI domain mutations
R12	T7	T8	CauseOf	AI domain mutations,increased
R13	T9	T8	ThemeOf	calcineurin signaling,increased
R14	T11	T16	CauseOf	catalytic domain mutations,found
R15	T12	T16	CauseOf	frameshift mutation,found
R16	T13	T16	ThemeOf	nonsyndromic early onset epileptic encephalopathy,found
R2	T14	T12	ThemeOf	PPP3CA,frameshift mutation
R5	T1	T15	CauseOf	AI domain mutations,associated
R6	T2	T15	ThemeOf	multiple congenital abnormalities,associated
R7	T3	T2	ThemeOf	craniofacial dysmorphism,multiple congenital abnormalities
R8	T5	T2	ThemeOf	arthrogryposis,multiple congenital abnormalities
R9	T4	T2	ThemeOf	short stature,multiple congenital abnormalities
