Id	Subject	Object	Predicate	Lexical cue
T1	0-13	Disease	denotes	Hydrocephalus
T2	57-66	Reg	denotes	caused by
T3	67-76	Var	denotes	mutations
T4	84-88	Gene	denotes	MPDZ
T5	443-465	Disease	denotes	isolated hydrocephalus
T6	467-472	Gene	denotes	L1CAM
T7	473-482	Var	denotes	mutations
T8	502-508	Reg	denotes	common
R1	T3	T2	CauseOf	mutations,caused by
R2	T1	T2	ThemeOf	Hydrocephalus,caused by
R3	T4	T3	ThemeOf	MPDZ,mutations
R4	T6	T7	ThemeOf	L1CAM,mutations
R5	T5	T8	ThemeOf	isolated hydrocephalus,common
R6	T7	T8	CauseOf	mutations,common
