Id	Subject	Object	Predicate	Lexical cue
T16	488-496	Var	denotes	deletion
T15	500-506	Gene	denotes	TAS1R3
T17	549-558	PosReg	denotes	increased
T18	559-577	CPA	denotes	cortical bone mass
T9	698-707	PosReg	denotes	increased
T10	708-734	CPA	denotes	thickness of cortical bone
T7	765-771	Gene	denotes	Tas1R3
T8	772-778	Var	denotes	mutant
T12	1202-1268	MPA	denotes	levels of the bone resorption marker collagen type I C-telopeptide
T11	1273-1280	NegReg	denotes	reduced
T13	1301-1307	Gene	denotes	Tas1R3
T14	1308-1314	Var	denotes	mutant
T19	1549-1553	PosReg	denotes	high
T20	1554-1563	CPA	denotes	bone mass
T2	1567-1573	Gene	denotes	Tas1R3
T3	1574-1580	Var	denotes	mutant
T5	1627-1634	NegReg	denotes	reduced
T6	1635-1654	CPA	denotes	osteoclast function
R1	T7	T8	ThemeOf	Tas1R3,mutant
R10	T18	T17	ThemeOf	cortical bone mass,increased
R12	T3	T5	CauseOf	mutant,reduced
R13	T6	T5	ThemeOf	osteoclast function,reduced
R14	T5	T19	CauseOf	reduced,high
R15	T20	T19	ThemeOf	bone mass,high
R2	T8	T9	CauseOf	mutant,increased
R3	T10	T9	ThemeOf	thickness of cortical bone,increased
R4	T13	T14	ThemeOf	Tas1R3,mutant
R5	T14	T11	CauseOf	mutant,reduced
R6	T12	T11	ThemeOf	levels of the bone resorption marker collagen type I C-telopeptide,reduced
R7	T2	T3	ThemeOf	Tas1R3,mutant
R8	T15	T16	ThemeOf	TAS1R3,deletion
R9	T16	T17	CauseOf	deletion,increased
