Id	Subject	Object	Predicate	Lexical cue
T5	1844-1858	Disease	denotes	early-onset AF
T7	1873-1876	PosReg	denotes	LOF
T6	1877-1884	Var	denotes	variant
T3	1888-1891	Gene	denotes	TTN
T4	1892-1901	PosReg	denotes	increased
T10	2381-2404	Reg	denotes	significant association
T8	2416-2419	NegReg	denotes	LOF
T2	2420-2427	Var	denotes	variant
T1	2435-2438	Gene	denotes	TTN
T9	2448-2462	Disease	denotes	early-onset AF
R1	T3	T6	ThemeOf	TTN,variant
R2	T6	T7	CauseOf	variant,LOF
R3	T7	T4	CauseOf	LOF,increased
R4	T5	T4	ThemeOf	early-onset AF,increased
R5	T1	T2	ThemeOf	TTN,variant
R6	T2	T8	CauseOf	variant,LOF
R7	T8	T10	CauseOf	LOF,significant association
R8	T9	T10	ThemeOf	early-onset AF,significant association
