Id	Subject	Object	Predicate	Lexical cue
T1	454-458	Gene	denotes	Cdh2
T2	459-467	Var	denotes	deletion
T9	487-496	NegReg	denotes	defective
T4	497-503	MPA	denotes	growth
T7	505-508	NegReg	denotes	low
T5	509-518	MPA	denotes	bone mass
T6	524-531	NegReg	denotes	reduced
T8	532-554	MPA	denotes	osteoprogenitor number
R1	T1	T2	ThemeOf	Cdh2,deletion
R2	T2	T9	CauseOf	deletion,defective
R3	T4	T9	ThemeOf	growth,defective
R4	T2	T7	CauseOf	deletion,low
R5	T5	T7	ThemeOf	bone mass,low
R6	T2	T6	CauseOf	deletion,reduced
R7	T8	T6	ThemeOf	osteoprogenitor number,reduced
