Id	Subject	Object	Predicate	Lexical cue
T2	808-816	PosReg	denotes	Enhanced
T3	817-829	CPA	denotes	Cd tolerance
T1	850-856	Gene	denotes	WRKY12
T5	857-873	NegReg	denotes	loss-of-function
T4	874-881	Var	denotes	mutants
T6	982-998	NegReg	denotes	loss-of-function
T7	1002-1008	Gene	denotes	WRKY12
T8	1057-1066	NegReg	denotes	decreased
T9	1067-1082	CPA	denotes	Cd accumulation
T10	1100-1109	PosReg	denotes	releasing
T11	1114-1124	MPA	denotes	expression
T12	1250-1254	Gene	denotes	GSH1
T13	1256-1260	Gene	denotes	GSH2
T14	1262-1266	Gene	denotes	PCS1
T15	1272-1276	Gene	denotes	PCS2
R1	T3	T2	ThemeOf	Cd tolerance,Enhanced
R10	T12	T11	ThemeOf	GSH1,expression
R11	T13	T11	ThemeOf	GSH2,expression
R12	T14	T11	ThemeOf	PCS1,expression
R13	T15	T11	ThemeOf	PCS2,expression
R2	T1	T4	ThemeOf	WRKY12,mutants
R3	T4	T5	CauseOf	mutants,loss-of-function
R4	T5	T2	CauseOf	loss-of-function,Enhanced
R5	T7	T6	ThemeOf	WRKY12,loss-of-function
R6	T6	T10	CauseOf	loss-of-function,releasing
R7	T11	T10	ThemeOf	expression,releasing
R8	T10	T8	CauseOf	releasing,decreased
R9	T9	T8	ThemeOf	Cd accumulation,decreased
