Id	Subject	Object	Predicate	Lexical cue
T5	1373-1402	MPA	denotes	major adverse clinical events
T6	1424-1440	NegReg	denotes	loss-of-function
T7	1441-1447	Var	denotes	allele
T8	1550-1565	MPA	denotes	ischemic stroke
T9	1569-1600	MPA	denotes	transient ischemic attack alone
T12	1690-1707	MPA	denotes	Platelet activity
T11	1721-1731	Interaction	denotes	associated
T10	1737-1753	Var	denotes	allele *2 status
R11	T12	T11	ThemeOf	Platelet activity,associated
R12	T10	T11	CauseOf	allele *2 status,associated
R4	T7	T6	CauseOf	allele,loss-of-function
R5	T7	T5	CauseOf	allele,major adverse clinical events
R6	T7	T8	CauseOf	allele,ischemic stroke
R7	T7	T9	CauseOf	allele,transient ischemic attack alone
